transaction id,merchant,mid,transaction date,transaction type,status,amount,merchant amount,currency,card brand,card number,payer name,payer country,payer email,payer phone,geoip country,gateway id,card type,card category,issuer,issuer country,decline reason,decline type
DEMO-0001,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-01 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-01,Demo Customer 01,KE,customer01@example.test,+99900000001,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0002,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-02 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-02,Demo Customer 02,KE,customer02@example.test,+99900000002,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0003,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-03 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-03,Demo Customer 03,KE,customer03@example.test,+99900000003,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0004,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-04 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-04,Demo Customer 04,KE,customer04@example.test,+99900000004,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0005,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-05 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-05,Demo Customer 05,KE,customer05@example.test,+99900000005,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0006,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-06 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-06,Demo Customer 06,KE,customer06@example.test,+99900000006,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0007,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-07 09:00:00,payment,approved,100,97,USD,visa,DEMO-CARD-BASE-07,Demo Customer 07,KE,customer07@example.test,+99900000007,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0008,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 09:00:00,payment,approved,4000,3880,USD,visa,DEMO-CARD-SPIKE-01,Demo Customer 08,KE,customer08@example.test,+99900000008,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0009,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 10:00:00,payment,approved,5000,4850,USD,visa,DEMO-CARD-VOLUME-01,Demo Customer 09,KE,shared@example.test,+99900000009,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0010,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 10:02:00,payment,approved,5000,4850,USD,mastercard,DEMO-CARD-VOLUME-02,Demo Customer 10,KE,shared@example.test,+99900000009,KE,DEMO-GW-1,credit,consumer,Demo Bank,KE,,
DEMO-0011,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 10:04:00,payment,approved,5000,4850,USD,visa,DEMO-CARD-VOLUME-03,Demo Customer 11,KE,shared@example.test,+99900000009,GB,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0012,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 10:06:00,payment,approved,5000,4850,USD,mastercard,DEMO-CARD-VOLUME-04,Demo Customer 12,KE,customer12@example.test,+99900000012,KE,DEMO-GW-1,credit,consumer,Demo Bank,KE,,
DEMO-0013,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 10:08:00,payment,approved,5000,4850,USD,visa,DEMO-CARD-VOLUME-05,Demo Customer 13,KE,customer13@example.test,+99900000013,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0014,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:00:00,payment,approved,120,116,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0015,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:05:00,payment,approved,120,116,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0016,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:10:00,payment,approved,121,117,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0017,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:15:00,payment,approved,122,118,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0018,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:20:00,payment,approved,123,119,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0019,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:25:00,payment,approved,124,120,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0020,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:30:00,payment,approved,125,121,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0021,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 11:35:00,payment,approved,126,122,USD,visa,DEMO-CARD-VELOCITY-01,Velocity Demo,KE,velocity@example.test,+99900000100,KE,DEMO-GW-1,debit,consumer,Demo Bank,KE,,
DEMO-0022,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 12:00:00,payment,declined,75,73,USD,mastercard,DEMO-CARD-TEST-01,Testing Demo,GB,testing@example.test,+99900000200,GB,DEMO-GW-1,credit,consumer,Demo Bank,GB,do not honor,issuer
DEMO-0023,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 12:02:00,payment,declined,76,74,USD,mastercard,DEMO-CARD-TEST-01,Testing Demo,GB,testing@example.test,+99900000200,GB,DEMO-GW-1,credit,consumer,Demo Bank,GB,incorrect security code,customer
DEMO-0024,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 12:04:00,payment,declined,77,75,USD,mastercard,DEMO-CARD-TEST-01,Testing Demo,GB,testing@example.test,+99900000200,GB,DEMO-GW-1,credit,consumer,Demo Bank,GB,do not honor,issuer
DEMO-0025,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 12:06:00,payment,declined,78,76,USD,mastercard,DEMO-CARD-TEST-01,Testing Demo,GB,testing@example.test,+99900000200,GB,DEMO-GW-1,credit,consumer,Demo Bank,GB,incorrect security code,customer
DEMO-0026,Demo Retail Ltd,DEMO_RETAIL_001,2026-06-08 12:08:00,payment,approved,79,77,USD,mastercard,DEMO-CARD-TEST-01,Testing Demo,GB,testing@example.test,+99900000200,GB,DEMO-GW-1,credit,consumer,Demo Bank,GB,,
